timestamp,Variable1,Variable2,Variable3,target
,,,,
6/16/2017 0:09,AP5,HDD,Commercial,263
,,,,
6/16/2017 0:09,EM3,HDD,Commercial,1287
,,,,
6/16/2017 0:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 0:09,SYD10,HDD,Commercial,1452
,,,,
6/16/2017 0:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 0:09,US2,HDD,Commercial,4815
,,,,
6/16/2017 0:09,US2,SSD,Commercial,82
,,,,
6/16/2017 0:09,US2,SSD,Commercial,15
,,,,
6/16/2017 0:09,US6,HDD,Commercial,26
,,,,
6/16/2017 0:09,US6,SSD,Commercial,0
,,,,
6/16/2017 0:09,US7,HDD,PCI,385
,,,,
6/16/2017 1:09,AP5,HDD,Commercial,366
,,,,
6/16/2017 1:09,EM3,HDD,Commercial,1289
,,,,
6/16/2017 1:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 1:09,SYD10,HDD,Commercial,1454
,,,,
6/16/2017 1:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 1:09,US2,HDD,Commercial,4862
,,,,
6/16/2017 1:09,US2,SSD,Commercial,82
,,,,
6/16/2017 1:09,US2,SSD,Commercial,15
,,,,
6/16/2017 1:09,US6,HDD,Commercial,29
,,,,
6/16/2017 1:09,US6,SSD,Commercial,0
,,,,
6/16/2017 1:09,US7,HDD,PCI,386
,,,,
6/16/2017 2:09,AP5,HDD,Commercial,449
,,,,
6/16/2017 2:09,EM3,HDD,Commercial,1288
,,,,
6/16/2017 2:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 2:09,SYD10,HDD,Commercial,1453
,,,,
6/16/2017 2:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 2:09,US2,HDD,Commercial,4786
,,,,
6/16/2017 2:09,US2,SSD,Commercial,82
,,,,
6/16/2017 2:09,US2,SSD,Commercial,15
,,,,
6/16/2017 2:09,US6,HDD,Commercial,31
,,,,
6/16/2017 2:09,US6,SSD,Commercial,0
,,,,
6/16/2017 2:09,US7,HDD,PCI,385
,,,,
6/16/2017 3:09,AP5,HDD,Commercial,306
,,,,
6/16/2017 3:09,EM3,HDD,Commercial,1286
,,,,
6/16/2017 3:09,EM3,SSD,Commercial,1728
,,,,
